gares;heure;ligne;niveau quai;quai
Guebwiller Heissenstein;18:07;TER Int-Val;quai haut;4
Gare Centrale;18:10;TT-5;quai haut;3
Thann Gare;18:13;TT-4;quai bas;2
Gare Centrale;18:20;TT-4;quai bas;1
Guebwiller Heissenstein;18:23;TT-5;quai haut;4
Thann Gare;18:26;TER Int-Val;quai bas;2
Guebwiller Heissenstein;18:37;TER Int-Val;quai haut;4
Gare Centrale;18:40;TT-5;quai haut;3
Thann Gare;18:43;TT-4;quai bas;2
Gare Centrale;18:50;TT-4;quai bas;1
Guebwiller Heissenstein;18:53;TT-5;quai haut;4
Thann Gare;18:56;TER Int-Val;quai bas;2
Guebwiller Heissenstein;19:07;TER Int-Val;quai haut;4
Gare Centrale;19:10;TT-5;quai haut;3
Thann Gare;19:13;TT-4;quai bas;2
Gare Centrale;19:20;TT-4;quai bas;1
Thann Gare;19:21;TER Int-Val;quai bas;2
Guebwiller Heissenstein;19:23;TT-5;quai haut;4
Gare Centrale;19:30;TT-5;quai haut;3
Guebwiller Heissenstein;19:37;TER Int-Val;quai haut;4
Thann Gare;19:43;TT-4;quai bas;2
Gare Centrale;19:50;TT-4;quai bas;1
Guebwiller Heissenstein;19:53;TT-5;quai haut;4
Thann Gare;20:00;TT-5;quai bas;2
Guebwiller Heissenstein;20:07;TER Int-Val;quai haut;4
Gare Centrale;20:10;TER Int-Val;quai haut;3
Thann Gare;20:20;TT-5;quai bas;2
Thann Gare;20:23;TT-4;quai bas;2
Gare Centrale;20:30;TT-4;quai bas;1
Thann Gare;20:35;TER Int-Val;quai bas;2
Thann Gare;20:50;TT-5;quai bas;2
Guebwiller Heissenstein;20:52;TER Int-Val;quai haut;4
Gare Centrale;21:12;TT-4;quai bas;1
Guebwiller Heissenstein;21:15;TT-5;quai haut;4
Gare Centrale;21:30;TT-4;quai haut;3
Guebwiller Heissenstein;21:33;TER Int-Val;quai haut;4
Thann Gare;21:35;TER Int-Val;quai bas;2
Gare Centrale;21:50;TT-5;quai haut;3
Guebwiller Heissenstein;21:51;TT-5;quai haut;4
Gare Centrale;22:12;TT-4;quai bas;1
Thann Gare;22:14;TT-4;quai bas;2
Gare Centrale;22:40;TT-5;quai haut;3
Guebwiller Heissenstein;22:41;TT-5;quai haut;4
Gare Centrale;22:58;TT-4;quai bas;1
Gare centrale;22:58;TT-4;quai bas;1
Thann Gare;23:09;TT-4;quai bas;2
Thann Gare;23:09;TT-4;quai bas;2
